Nº de serie,Tipo,Clasificación,Tipo de ubicación,Descripción,Tipo de ubicación,Lugar asociado,Ubicación: Calle,Ubicación: Altura,Ubicación: Letra,Ubicación: Bis,Ubicación: Intersección,Ubicación: Coordenada X,Ubicación: Coordenada Y,Responsable,Dirección,Secretaría,Estado,ID,Fecha alta,Fecha baja,Archivo imagen,
911000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,BIGUA,9109,,,,5429356.321,6355598.763,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516601,22-07-2026,,,
912000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,BIGUA,9120,,,,5429333.497,6355597.855,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516600,22-07-2026,,,
914000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,BIGUA,9141,,,,5429287.849,6355596.038,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516599,22-07-2026,,,
915000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,BIGUA,9150,,,,5429265.025,6355595.13,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516598,22-07-2026,,,
916000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,BIGUA,9160,,,,5429242.201,6355594.222,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516597,22-07-2026,,,
918000,Lámpara,Led - 22,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,BIGUA,9180,,,,5429196.553,6355592.405,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516596,22-07-2026,,,
92000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,UGARTE MANUEL,921,,,,5429373.217,6355637.795,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516595,22-07-2026,,,
94000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,UGARTE MANUEL,940,,,,5429374.19,6355610.434,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516594,22-07-2026,,,
96000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,UGARTE MANUEL,960,,,,5429374.99,6355587.934,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516593,22-07-2026,,,
98000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,UGARTE MANUEL,980,,,,5429375.811,6355564.821,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516592,22-07-2026,,,
908000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,BOOZ MATEO,9080,,,,5429481.269375,6355735.385625,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516586,22-07-2026,,,
906000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,BOOZ MATEO,9060,,,,5429509.213125,6355736.491875,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516585,22-07-2026,,,
904000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,BOOZ MATEO,9040,,,,5429537.156875,6355737.598125,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516584,22-07-2026,,,
902000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,BOOZ MATEO,9020,,,,5429565.100625,6355738.704375,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516583,22-07-2026,,,
906000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,LAFLOR LUIS,9040,,,,5429505.5519271,6355671.166474325,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516582,22-07-2026,,,
904000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,LAFLOR LUIS,9020,,,,5429551.729290888,6355672.98197092,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516581,22-07-2026,,,
902000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,LAFLOR LUIS,9030,,,,5429528.640608994,6355672.074222622,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516580,22-07-2026,,,
901000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,LAFLOR LUIS,9010,,,,5429574.817972782,6355673.889719218,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516579,22-07-2026,,,
899000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,LAFLOR LUIS,8990,,,,5429597.873105827,6355673.084737599,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516578,22-07-2026,,,
891000,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:00,En Transversal - En Calle,,LAFLOR LUIS,8910,,,,5429651.614591619,6355676.65880602,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516577,22-07-2026,,,
904004,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:04,En Transversal - En Calle,,BIGUA,9040,B,,,5429499.889375,6355605.988125,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516576,22-07-2026,,,
902004,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:04,En Transversal - En Calle,,BIGUA,9020,B,,,5429523.158125,6355606.794375,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516575,22-07-2026,,,
908003,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:03,En Transversal - En Calle,,BIGUA,9080,A,,,5429562.89875,6355608.25875,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516574,22-07-2026,,,
906003,Lámpara,Sodio - 150,En Transversal - En Calle,CARAC:03,En Transversal - En Calle,,BIGUA,9060,A,,,5429583.78625,6355609.079583333,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516573,22-07-2026,,,
