N.º Serie,Tipo,Material,Ubicacion,Carac,,Nombre Calle,Altura,Letra,Bis,,Coordenada X,Coordenada Y,Zona,,ID,Alta,Baja
227000,Transversal,Cable Acerado,En Calle,,,SALTA,2270,,,,5438975.41375,6356064.394583333,Alumbrado Zona 2,Dado de Baja,456571,27-12-2020,13-08-2026
225000,Transversal,Cable Acerado,En Calle,,,SALTA,2250,,,,5438999.345000001,6356059455,Alumbrado Zona 2,Dado de Baja,456570,27-12-2020,13-08-2026
223000,Transversal,Cable Acerado,En Calle,,,SALTA,2230,,,,5439023.27625,6356054.515416666,Alumbrado Zona 2,Dado de Baja,456569,27-12-2020,13-08-2026
221000,Transversal,Cable Acerado,En Calle,,,SALTA,2210,,,,5439047.2075000005,6356049.575833333,Alumbrado Zona 2,Dado de Baja,456568,27-12-2020,13-08-2026
259500,Transversal,Alambre,En Calle,,,RIVADAVIA BERNARDINO,2595,,,,5438669.863333333,6356665775,Alumbrado Zona 2,Dado de Baja,456567,27-12-2020,13-08-2026
52000,Transversal,Cable Acerado,En Calle,,,QUINTANA PRESIDENTE MANUEL,520,,,,5440266.273125,6350813.273750001,Alumbrado Zona 3,Dado de Baja,456566,27-12-2020,13-08-2026
62000,Transversal,Alambre,En Calle,,,PAGO LARGO,620,,,,5435027.070434783,6362335.1952173915,Alumbrado Zona 1,Dado de Baja,456564,27-12-2020,13-08-2026
437500,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4375,,,,5440695.8512244895,6350141.800612245,Alumbrado Zona 3,Dado de Baja,456562,27-12-2020,13-08-2026
432500,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4325,,,,5440702.728775511,6350176.239387754,Alumbrado Zona 3,Dado de Baja,456561,27-12-2020,13-08-2026
428000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4280,,,,5440710.745625,6350216.5806249995,Alumbrado Zona 3,Dado de Baja,456560,27-12-2020,13-08-2026
426000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4260,,,,5440715.9852083335,6350243.036874999,Alumbrado Zona 3,Dado de Baja,456559,27-12-2020,13-08-2026
424000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4240,,,,5440721.2247916665,6350269.493125,Alumbrado Zona 3,Dado de Baja,456558,27-12-2020,13-08-2026
422000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4220,,,,5440726.4643749995,6350295.949375,Alumbrado Zona 3,Dado de Baja,456557,27-12-2020,13-08-2026
418000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4180,,,,5440736.1075,6350343.78625,Alumbrado Zona 3,Dado de Baja,456556,27-12-2020,13-08-2026
416000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4160,,,,5440741.5825,6350370.482083334,Alumbrado Zona 3,Dado de Baja,456555,27-12-2020,13-08-2026
414000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4140,,,,5440747.0575,6350397.1779166665,Alumbrado Zona 3,Dado de Baja,456554,27-12-2020,13-08-2026
412000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4120,,,,5440752.5325,6350423.87375,Alumbrado Zona 3,Dado de Baja,456553,27-12-2020,13-08-2026
408000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4080,,,,5440762.31625,6350471.65625,Alumbrado Zona 3,Dado de Baja,456552,27-12-2020,13-08-2026
406000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4060,,,,5440767.712083333,6350498.052083333,Alumbrado Zona 3,Dado de Baja,456551,27-12-2020,13-08-2026
404000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4040,,,,5440772.677826087,6350522.397826087,Alumbrado Zona 3,Dado de Baja,456550,27-12-2020,13-08-2026
402000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,4020,,,,5440778.347391305,6350550.2673913045,Alumbrado Zona 3,Dado de Baja,456549,27-12-2020,13-08-2026
399000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,3990,,,,5440784.753448276,6350581.718275862,Alumbrado Zona 3,Dado de Baja,456548,27-12-2020,13-08-2026
397000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,3970,,,,5440788.0120689655,6350597.638965517,Alumbrado Zona 3,Dado de Baja,456547,27-12-2020,13-08-2026
395000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,3950,,,,5440791.270689655,6350613.559655172,Alumbrado Zona 3,Dado de Baja,456546,27-12-2020,13-08-2026
393000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,3930,,,,5440796.633333334,6350639.884444444,Alumbrado Zona 3,Dado de Baja,456545,27-12-2020,13-08-2026
391000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,3910,,,,5440805.29,6350682.32,Alumbrado Zona 3,Dado de Baja,456544,27-12-2020,13-08-2026
388000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,3880,,,,5440814.32,6350725635,Alumbrado Zona 3,Dado de Baja,456543,27-12-2020,13-08-2026
386000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,3860,,,,5440819.92,6350752.118333333,Alumbrado Zona 3,Dado de Baja,456542,27-12-2020,13-08-2026
384000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,3840,,,,5440825.5200000005,6350778.601666667,Alumbrado Zona 3,Dado de Baja,456541,27-12-2020,13-08-2026
382000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,3820,,,,5440831.12,6350805085,Alumbrado Zona 3,Dado de Baja,456540,27-12-2020,13-08-2026
378000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,3780,,,,5440841.096875,6350852.884375,Alumbrado Zona 3,Dado de Baja,456539,27-12-2020,13-08-2026
376000,Transversal,Cable Acerado,En Calle,,,NECOCHEA GRAL. MARIANO,3760,,,,5440846.582291666,6350879.511458334,Alumbrado Zona 3,Dado de Baja,456538,27-12-2020,13-08-2026
